ncm;nac;imp;est;mun
00000000;13.45;15.45;20.00;0.00
0101;13.45;15.45;0.00;3.03
01012100;13.45;15.45;18.00;0.00
01012900;13.45;15.45;18.00;0.00
01013000;13.45;17.88;18.00;0.00
01019000;13.45;17.88;18.00;0.00
0102;13.45;15.45;0.00;3.03
01022110;13.45;15.45;18.00;0.00
01022190;13.45;15.45;18.00;0.00
01022911;13.45;15.45;18.00;0.00
01022919;13.45;15.45;18.00;0.00
01022990;13.45;15.45;18.00;0.00
01023110;13.45;15.45;18.00;0.00
01023190;13.45;15.45;18.00;0.00
01023911;13.45;15.45;18.00;0.00
01023919;13.45;15.45;18.00;0.00
01023990;13.45;15.45;18.00;0.00
01029000;13.45;15.45;18.00;0.00
0103;13.45;15.45;0.00;3.03
01031000;13.45;15.45;18.00;0.00
01039100;13.45;15.45;18.00;0.00
01039200;13.45;15.45;18.00;0.00
0104;13.45;15.45;0.00;2.98
01041011;13.45;15.45;18.00;0.00
01041019;13.45;15.45;18.00;0.00
01041090;13.45;15.45;18.00;0.00
01042010;13.45;15.45;18.00;0.00
01042090;13.45;15.45;18.00;0.00
0105;13.45;15.45;0.00;2.98
01051110;13.45;15.45;18.00;0.00
01051190;13.45;15.45;18.00;0.00
01051200;13.45;15.45;18.00;0.00
01051300;13.45;15.45;18.00;0.00
01051400;13.45;15.45;18.00;0.00
01051500;13.45;15.45;18.00;0.00
01059400;13.45;17.88;18.00;0.00
01059900;13.45;17.88;18.00;0.00
0106;13.45;15.45;0.00;3.03
01061100;13.45;17.88;18.00;0.00
01061200;13.45;17.88;18.00;0.00
01061300;13.45;17.88;18.00;0.00
01061400;13.45;17.88;18.00;0.00
01061900;13.45;17.88;18.00;0.00
01062000;13.45;17.88;18.00;0.00
01063100;13.45;17.88;18.00;0.00
01063200;13.45;17.88;18.00;0.00
01063310;13.45;15.45;18.00;0.00
01063390;13.45;17.88;18.00;0.00
01063900;13.45;17.88;18.00;0.00
01064100;13.45;17.88;18.00;0.00
01064900;13.45;17.88;18.00;0.00
01069000;13.45;17.88;18.00;0.00
0107;13.45;15.45;0.00;3.00
0108;13.45;15.45;0.00;3.03
0201;13.45;15.45;0.00;2.98
02011000;13.45;21.23;18.00;0.00
02012010;13.45;21.23;18.00;0.00
02012020;13.45;21.23;18.00;0.00
02012090;13.45;21.23;18.00;0.00
02013000;13.45;22.27;18.00;0.00
02021000;13.45;21.23;18.00;0.00
02022010;13.45;21.23;18.00;0.00
02022020;13.45;21.23;18.00;0.00
02022090;13.45;21.23;18.00;0.00
02023000;13.45;15.45;18.00;0.00
02031100;13.45;21.23;18.00;0.00
02031200;13.45;21.23;18.00;0.00
02031900;13.45;21.23;18.00;0.00
02032100;13.45;21.23;18.00;0.00
02032200;13.45;21.23;18.00;0.00
02032900;13.45;21.23;18.00;0.00
02041000;13.45;21.23;18.00;0.00
02042100;13.45;21.23;18.00;0.00
02042200;13.45;21.23;18.00;0.00
02042300;13.45;21.23;18.00;0.00
02043000;13.45;21.23;18.00;0.00
02044100;13.45;21.23;18.00;0.00
02044200;13.45;21.23;18.00;0.00
02044300;13.45;21.23;18.00;0.00
02045000;13.45;21.23;18.00;0.00
02050000;13.45;21.23;18.00;0.00
02061000;13.45;21.23;18.00;0.00
02062100;13.45;21.23;18.00;0.00
02062200;13.45;21.23;18.00;0.00
02062910;13.45;21.23;18.00;0.00
02062990;13.45;21.23;18.00;0.00
02063000;13.45;21.23;18.00;0.00
02064100;13.45;21.23;18.00;0.00
02064900;13.45;21.23;18.00;0.00
02068000;13.45;21.23;18.00;0.00
02069000;13.45;21.23;18.00;0.00
02071100;13.45;21.23;18.00;0.00
02071210;13.45;21.23;18.00;0.00
02071220;13.45;21.23;18.00;0.00
02071300;13.45;21.23;18.00;0.00
02071411;13.45;21.23;18.00;0.00
02071412;13.45;21.23;18.00;0.00
02071413;13.45;21.23;18.00;0.00
02071419;13.45;21.23;18.00;0.00
02071421;13.45;21.23;18.00;0.00
02071422;13.45;21.23;18.00;0.00
02071423;13.45;21.23;18.00;0.00
02071424;13.45;21.23;18.00;0.00
02071429;13.45;21.23;18.00;0.00
02071431;13.45;21.23;18.00;0.00
02071432;13.45;21.23;18.00;0.00
02071433;13.45;21.23;18.00;0.00
02071434;13.45;21.23;18.00;0.00
02071439;13.45;21.23;18.00;0.00
02072400;13.45;21.23;18.00;0.00
02072500;13.45;21.23;18.00;0.00
02072600;13.45;21.23;18.00;0.00
